StateAbbr,PlaceName,PlaceFIPS,Population2010,Lack of Health Insurance,Arthritis,Binge Drinking,High Blood Pressure,Blood Pressure Medication,Cancer,Asthma,Coronary Heart Disease,Annual Checkup,Cholesterol Screening,Colonoscopy,Chronic obstructive pulmonary disease,Preventive Services (Older Men),Preventive Services (Older Women),Smoking,Dental Visit,Diabetes,High Cholesterol,Kidney Disease,Physical Inactivity,Mammography,Poor Mental Health,Obesity,Cervical Cancer Screening,Poor Physical Health,Sleep < 7 hrs,Stroke,Teethlost,Geolocation
AL,Birmingham,107000,212237,21.4,32.6,11.4,45.9,70.5,6.1,11.4,7.6,77.3,74.4,62.7,9.4,30.3,27.9,22.0,49.1,16.1,35.4,3.3,31.7,79.7,17.0,39.0,80.1,18.3,46.9,5.0,25.9,"(33.52756637730, -86.7988174678)"
AL,Hoover,135896,81619,10.2,25.3,15.7,31.9,63.8,6.8,8.2,5.4,73.9,77.0,73.6,5.3,42.3,42.2,13.2,72.7,7.7,35.0,2.2,17.8,82.1,10.8,24.7,86.3,10.0,34.6,2.2,9.5,"(33.37676027290, -86.8051937568)"
AL,Huntsville,137000,180105,16.3,29.4,12.3,36.7,66.9,6.5,9.6,6.7,70.8,76.2,65.8,7.5,39.7,36.9,21.3,60.5,10.7,35.8,2.6,24.9,80.0,14.0,32.0,83.5,13.9,39.7,3.2,14.7,"(34.69896926710, -86.6387042882)"
AL,Mobile,150000,195111,19.1,31.8,12.8,43.0,69.3,6.5,10.7,7.6,72.4,73.2,62.7,8.7,34.3,32.2,22.0,52.6,13.8,37.6,3.1,27.4,80.1,15.8,37.6,81.9,16.3,42.2,4.1,24.1,"(30.67762486480, -88.1184482714)"
AL,Montgomery,151000,205764,18.5,31.4,12.2,40.6,70.3,6.4,10.8,7.2,75.2,75.1,63.3,8.6,32.1,27.7,21.3,57.1,13.3,36.9,3.1,27.9,80.2,15.5,36.8,83.0,16.2,41.3,4.1,21.2,"(32.34726453330, -86.2677059552)"
AL,Tuscaloosa,177256,90468,18.5,32.3,12.1,40.0,69.0,6.5,10.9,7.4,74.3,74.4,64.2,9.1,36.0,33.7,23.2,56.4,13.6,38.7,2.9,28.6,79.8,15.9,38.5,81.0,16.6,41.4,4.1,20.6,"(33.23360839510, -87.5268004073)"
AK,Anchorage,203000,291826,14.5,21.3,20.2,30.2,49.0,6.2,8.6,5.0,60.7,70.2,60.3,5.0,33.4,29.0,18.3,66.0,8.2,32.9,2.3,19.2,70.4,9.4,27.7,79.9,9.9,33.4,2.6,13.0,"(61.14986873100, -149.111113424)"
AZ,Avondale,404720,76238,21.4,23.0,14.7,28.4,56.0,5.5,9.9,6.1,64.8,70.7,59.0,6.5,29.1,27.5,18.5,56.7,11.0,33.9,3.6,24.3,77.2,12.6,30.1,80.3,13.5,36.2,3.1,16.1,"(33.38583674050, -112.323626619)"
AZ,Chandler,412000,236123,12.3,21.2,16.2,26.0,54.8,6.0,9.1,5.0,66.1,72.8,67.0,5.3,34.5,35.2,15.3,68.0,7.7,33.1,3.1,17.4,80.3,10.2,24.5,83.5,9.7,32.9,2.4,9.9,"(33.28318981000, -111.852210033)"
AZ,Gilbert,427400,208453,9.7,20.8,17.2,25.3,54.2,6.1,9.0,4.8,66.3,73.8,69.0,4.9,35.7,36.9,14.7,71.2,7.1,32.8,3.0,15.6,81.2,9.6,23.5,85.0,8.8,32.0,2.2,8.3,"(33.31014939200, -111.746237467)"
AZ,Glendale,427820,226721,20.5,23.8,14.7,28.3,56.4,5.9,10.2,6.1,64.3,70.3,60.4,7.2,31.5,30.4,19.8,57.1,9.9,34.1,3.5,23.7,76.7,13.0,29.6,78.6,13.5,35.8,3.1,14.8,"(33.57961230890, -112.225306421)"
AZ,Mesa,446000,439041,17.1,23.4,15.6,27.5,55.7,6.1,10.1,5.9,64.4,71.1,62.9,6.9,33.1,32.4,19.3,60.6,8.9,33.8,3.4,21.3,77.5,12.4,28.3,80.4,12.3,34.7,2.9,13.2,"(33.40228373590, -111.718721181)"
AZ,Peoria,454050,154065,13.2,22.4,16.6,26.1,54.8,6.2,9.6,5.3,65.4,72.9,65.7,6.0,34.4,34.6,17.4,65.8,7.9,33.1,3.2,18.6,79.1,11.2,26.0,82.7,10.6,33.5,2.5,10.9,"(33.78472064220, -112.298680584)"
AZ,Phoenix,455000,1445632,22.2,23.6,14.5,28.9,56.7,5.9,10.2,6.1,64.1,69.7,60.1,7.1,31.7,30.7,19.6,56.4,10.2,34.3,3.6,24.1,76.7,13.1,30.1,78.5,13.8,35.6,3.1,14.6,"(33.57241386950, -112.088995222)"
AZ,Scottsdale,465000,217385,9.3,20.8,17.1,25.6,54.4,6.3,9.0,4.7,66.1,73.3,70.1,4.9,37.1,37.7,14.0,72.3,6.5,33.0,3.0,14.6,81.4,9.4,23.2,85.1,8.5,30.8,2.1,7.7,"(33.68724936510, -111.865085877)"
AZ,Surprise,471510,117517,13.4,22.3,16.4,26.3,55.0,6.2,9.6,5.3,65.5,72.9,66.3,5.9,35.1,35.3,17.4,65.6,7.9,33.1,3.2,18.5,79.6,11.2,26.3,82.9,10.5,33.7,2.5,10.6,"(33.68038351770, -112.452218439)"
AZ,Tempe,473000,161719,14.7,22.5,15.3,28.2,56.4,6.1,9.7,5.5,64.9,70.4,64.5,6.2,34.0,33.5,17.5,62.9,8.5,34.1,3.3,19.4,78.8,11.5,27.2,80.5,11.3,34.0,2.7,10.7,"(33.38826403070, -111.931802302)"
AZ,Tucson,477000,520116,20.6,23.8,13.7,29.6,56.2,6.0,10.4,6.1,62.9,69.9,58.0,7.4,29.3,30.1,19.2,56.9,10.0,35.0,3.7,22.6,73.5,13.3,30.4,75.7,13.8,34.8,3.1,13.5,"(32.15672444830, -110.877085494)"
AZ,Yuma,485540,93064,23.6,22.4,15.2,31.7,56.1,5.6,9.4,6.4,62.8,68.1,52.8,7.0,31.6,24.8,17.7,53.9,11.1,34.5,3.7,24.9,75.2,13.2,33.3,78.7,14.0,36.0,3.1,16.0,"(32.59860271170, -114.548368370)"
AR,Fayetteville,523290,73580,14.0,24.8,15.3,32.2,62.1,6.4,8.9,6.8,63.6,68.2,59.1,7.1,34.6,31.9,21.3,60.4,9.3,33.5,2.7,25.0,71.1,12.5,30.4,78.8,12.9,33.5,2.8,15.6,"(36.07121173120, -94.1659600436)"
AR,Fort Smith,524550,86209,22.0,27.1,13.1,37.6,62.4,6.2,9.8,8.0,65.0,68.1,56.1,9.1,29.7,30.3,26.1,54.1,11.6,34.5,3.1,33.9,72.8,15.4,35.8,74.0,17.1,38.0,3.6,21.5,"(35.34916926360, -94.3696317306)"
AR,Jonesboro,535710,67263,17.1,25.9,14.4,36.3,64.8,6.4,9.4,7.4,65.3,69.6,58.9,8.0,32.6,31.6,24.3,57.1,10.3,34.8,2.9,30.1,70.1,13.9,32.9,78.6,14.6,35.8,3.2,18.7,"(35.82081215380, -90.6794991686)"
AR,Little Rock,541000,193524,16.6,25.2,13.8,38.2,67.5,6.1,9.3,6.7,69.2,74.3,64.4,6.7,35.5,33.2,20.8,61.3,11.8,35.5,3.0,26.7,78.2,12.5,31.0,82.8,12.9,36.5,3.4,15.8,"(34.72539578940, -92.3583751863)"
AR,Springdale,566080,69797,25.3,26.5,13.9,32.5,61.4,6.1,9.5,8.0,61.7,66.8,51.5,9.0,30.4,27.5,25.6,49.2,11.9,34.1,3.2,33.6,66.2,15.2,34.5,73.7,17.1,36.2,3.5,24.4,"(36.18699325980, -94.1536274531)"
CA,Alameda,600562,73812,10.7,18.5,15.0,24.3,51.5,5.7,7.9,4.5,66.0,74.0,67.5,4.3,33.5,30.1,11.9,69.9,8.1,31.3,2.2,18.7,80.2,9.8,18.7,81.7,9.6,32.3,2.2,7.5,"(37.76508490310, -122.266489842)"
